Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
UGARSUGAR,UGAR SUGAR WORKS,4854375172,45.6,5.92334495,4.94821634,1020653,46541776.8,44.39847189,42.95481274,38.33562755,30.83489616,9099554000,Process Industries,944581000,35.4491,,28-Feb-22
KHAICHEM,KHAITAN CHEM & FERT LTD,9611630009,104.75,5.91506572,4.48877805,327813,34338411.75,101.5119089,101.6004265,92.9046067,66.72630278,4871528000,Process Industries,914657000,4.69992,6838390000,28-Feb-22
JTLINFRA,JTL INFRA LTD,12997498292,232.3,5.83143508,-3.12760634,59909,13916860.7,231.6218898,236.4093037,,,4357610000,Non-Energy Minerals,658914000,18.677,,28-Feb-22
STARHEALTH,STAR HEALTH & AL INS CO L,3.8114E+11,699.3,5.71428571,-3.67768595,116281,81315303.3,701.2499252,727.9529104,770.4674206,,54468250000,Finance,,,,28-Feb-22
RUCHI,RUCHI SOYA INDUSTRIES LTD,2.33846E+11,832.95,5.71102227,0.54925157,39174,32629983.3,818.4538023,828.6432572,855.3024924,900.135898,1.63181E+11,Process Industries,13305043000,20.9108,,28-Feb-22
SHYAMCENT,SHYAM CENTURY FERR,3988005320,18.9,5.58659218,6.77966102,801281,15144210.9,18.53180559,18.72642857,17.7851194,13.75218899,1276156000,Non-Energy Minerals,332060000,4.32695,,28-Feb-22
PGIL,PEARL GLOBAL INDUS,8061150237,394.55,5.57934172,-7.85847735,62797,24776556.35,417.6606587,443.4732999,438.0172373,346.6233457,14909265000,Consumer Non-Durables,1320995000,10.6234,,28-Feb-22
SUNFLAG,SUNFLAG IRON & STE,11714264374,68.5,5.38461538,-1.29682997,227925,15612862.5,68.82310803,71.64247951,73.78219418,74.53293313,18912700000,Non-Energy Minerals,4247300000,5.15883,,28-Feb-22
ELECON,ELECON ENGINEERING,15786534934,148.4,5.36031239,-0.06734007,420655,62425202,147.7783116,156.1703351,168.9923908,152.8786869,10407960000,Producer Manufacturing,2514023000,4.83385,,28-Feb-22
CREDITACC,CREDITACCESS GRAME,1.10683E+11,749.95,5.30787053,7.82890007,212542,159395872.9,710.9021305,696.0068044,659.8969112,645.6223901,24660700000,Finance,10841200000,9.70065,,28-Feb-22
INFOBEAN,INFOBEANS TECHNO. LTD.,12652304007,550.65,5.19629382,5.10593625,19320,10638558,531.2009396,533.7143787,509.4479801,406.0651485,1803400000,Technology Services,510345000,9.1058,,28-Feb-22
NEWGEN,NEWGEN SOFTWARE,33214967280,499.4,5.12577623,-6.07485424,154389,77101866.6,513.5568725,535.2274404,561.6248288,533.257677,6726244000,Technology Services,1936069000,8.51902,,28-Feb-22
FCONSUMER,FUTURE CONSUMER LTD,13699658089,7.2,5.10948905,4.34782609,14125767,101705522.4,6.94701689,7.05656919,7.21293869,7.66649348,11845132000,Finance,-1032319000,,,28-Feb-22
JKPAPER,JK PAPER LTD,36175871025,224.2,5.08554019,-2.62757872,1095234,245551462.8,222.3834038,224.1722869,222.0795839,208.165239,27311700000,Process Industries,8897200000,8.60669,,28-Feb-22
DCMSHRIRAM,DCM SHRIRAM LTD,1.55225E+11,1047.1,5.05141711,4.3240012,83797,87743838.7,1021.899579,1043.408978,1042.79328,927.4283758,81154300000,Producer Manufacturing,15225400000,8.21346,,28-Feb-22
