Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ)
GSS,GSS INFOTECH LTD,1839341219,112.15,3.31644404,2.0009095,240291,26948635.65,108.3494465,106.44309438,108.03803905,95.08039331,1149261904,Technology Services,55359070,,
SEQUENT,SEQUENT SCIENTIFIC,32015018700,133.25,3.2545525,8.02594244,5339366,711470519.5,130.07530209,131.70300979,142.92780056,180.93441946,13542720000,Health Technology,1144110000,30.321,
PAISALO,PAISALO DIGITAL LTD,32072287458,787.1,3.19916088,25.03574265,128228,100928258.8,699.36444842,677.43056057,694.32391855,732.70731711,3460219000,Finance,1674089000,18.7141,
RAYMOND,RAYMOND LTD,48429066592,753.15,3.1924368,-2.54270186,630593,474931117.95,740.80761208,731.54822113,712.21387732,582.4520061,34282192000.000004,Process Industries,5815900000,,
BLUEDART,BLUE DART EXPRESS,153697691731,6689.95,3.17309768,7.62987274,15266,102128776.7,6346.44601381,6258.34128757,6324.07853683,6106.72495152,32881300000.000004,Transportation,9563100000,20.4127,
KDDL,KDDL LTD,12282351008,999.95,3.16739747,14.84437809,18362,18361081.9,918.59319303,897.16271588,891.34272587,688.69959669,5463102000,Producer Manufacturing,1035700000,8.35443,
SANGHIIND,SANGHI INDUSTRIES,10705150383,44.1,3.15789474,-1.78173719,1533476,67626291.60000001,44.64931177,45.86960799,50.05130242,55.13659186,9392300000,Non-Energy Minerals,2425180000,9.96724,
RHIM,RHI MAGNESITA INDIA LTD,98175555576,629.2,3.13063432,6.79792922,451695,284206494,592.21402605,564.01874471,507.98998111,400.02085894,13614038000,Producer Manufacturing,3113215000,17.3717,
JAMNAAUTO,JAMNA AUTO IND,39228766509,101.2,3.10748854,-1.41256698,1211643,122618271.6,100.22351014,100.5279793,101.9597922,94.8789132,10794784000,Producer Manufacturing,2114889000.0000005,18.0423,
PRAJIND,PRAJ INDUSTRIES,65543745322.99999,367.65,3.09871004,-3.44057781,1050820,386333973,368.72415875,368.34451776,368.74545171,335.59701988,13046687000,Producer Manufacturing,1916700000,28.1027,
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,35551884293,342.25,3.07182653,-2.0603806,561699,192241482.75,332.84985033,328.1551272,347.7082671,,2507930000,Technology Services,,,
CHEMPLASTS,CHEMPLAST SANMAR LTD,97774964029,636.7,3.00922181,2.67698758,327631,208602657.7,606.59204231,581.9481273,564.69955143,,37958680000,Process Industries,,,
