,,,,,,,,,,,,,,,Sum of Last,Column Labels,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,DEEPAKFERT,,,,,,,560.25,582.2,,,,,539.4,1681.85
,,,,,,,,,,,,,2,,DEEPINDS,,,214.95,,,,197.35,,,,,,,412.3
,,,,,,,,,,,,,2,,DEN,,,,43.15,44.6,,,,,,,,,87.75
,,,,,,,,,,,,,3,,DHAMPURSUG,,,416.45,,,,397.3,,,,,,387.35,1201.1
,,,,,,,,,,,,,2,,DHARAMSI,,,,,,,,,,385.8,,,370.6,756.4
,,,,,,,,,,,,,1,,DISHTV,,,,,,,,,,16.25,,,,16.25
,,,,,,,,,,,,,1,,DLINKINDIA,,,,,,,,156.15,,,,,,156.15
,,,,,,,,,,,,,1,,DOLLAR,,,,,,,,,,,,,534.4,534.4
,,,,,,,,,,,,,1,,DREDGECORP,,,,,,,349.55,,,,,,,349.55
,,,,,,,,,,,,,2,,DSSL,,,,,,,199.05,,,,,,207.15,406.2
,,,,,,,,,,,,,1,,DVL,,,,,,,,,,,,,235.35,235.35
,,,,,,,,,,,,,2,,DWARKESH,,,,,,,93,,,,,,88.45,181.45
,,,,,,,,,,,,,1,,DYNAMATECH,,,2326.75,,,,,,,,,,,2326.75
,,,,,,,,,,,,,3,,DYNPRO,,,,,,,550.65,574.25,,,,,552.65,1677.55
,,,,,,,,,,,,,1,,ECLERX,,,,,,,,,,,,,2217.05,2217.05
,,,,,,,,,,,,,2,,EDELWEISS,,,,,,,62.95,,,63.35,,,,126.3
,,,,,,,,,,,,,1,,EIDPARRY,,,,,,,,,,,,,420.05,420.05
,,,,,,,,,,,,,1,,EIHAHOTELS,,,,,,,,,,,371.8,,,371.8
,,,,,,,,,,,,,1,,EIHOTEL,,,,,,,138.35,,,,,,,138.35
,,,,,,,,,,,,,3,,EKC,262.9,,,251.05,,,,233.65,,,,,,747.6
,,,,,,,,,,,,,2,,ELECON,,,,168.6,,,157.65,,,,,,,326.25
,,,,,,,,,,,,,2,,ELECTCAST,,,,42.2,,,,42.35,,,,,,84.55
,,,,,,,,,,,,,1,,ELGIEQUIP,,,,,,,,,,393.6,,,,393.6
,,,,,,,,,,,,,1,,EMKAY,,,,,,,,121.1,,,,,,121.1
,,,,,,,,,,,,,1,,ENDURANCE,,,,,,,,1413.2,,,,,,1413.2
,,,,,,,,,,,,,3,,ENIL,,,,,188.05,,185.95,,,195.45,,,,569.45
,,,,,,,,,,,,,1,,EQUITASBNK,,,,,,,,,,,55.7,,,55.7
,,,,,,,,,,,,,4,,EROSMEDIA,25.6,26.55,,,26.4,,27.85,,,,,,,106.4
,,,,,,,,,,,,,1,,ESTER,,,,,,,,141.7,,,,,,141.7
,,,,,,,,,,,,,3,,EVEREADY,,,,,,,296.35,318.2,,,,,360.3,974.85
,,,,,,,,,,,,,1,,EVERESTIND,,,,,,,,,657.9,,,,,657.9
,,,,,,,,,,,,,4,,EXCELINDUS,986.5,,,,,1161.35,,1308,,,,,1230.5,4686.35
,,,,,,,,,,,,,3,,EXXARO,,,,,,,128.3,,,128.7,,,121.95,378.95
,,,,,,,,,,,,,1,,FACT,,,,,,,119.7,,,,,,,119.7
,,,,,,,,,,,,,2,,FAIRCHEMOR,,,2071.4,,,,1720.9,,,,,,,3792.3
,,,,,,,,,,,,,2,,FCL,,,,,,,164.6,173.8,,,,,,338.4
,,,,,,,,,,,,,1,,FCONSUMER,,,,,,,,,,,,,7.05,7.05
,,,,,,,,,,,,,1,,FCSSOFT,,,,,,,,,,,,,3.75,3.75
,,,,,,,,,,,,,2,,FDC,306,,,,,,,313.65,,,,,,619.65
,,,,,,,,,,,,,2,,FILATEX,,,128.05,,,,,,,,,,115.35,243.4
,,,,,,,,,,,,,1,,FINCABLES,,,,,,,,483,,,,,,483
,,,,,,,,,,,,,2,,FINEORG,,,,,,,,3932,,,,,3963.35,7895.35
,,,,,,,,,,,,,1,,FINPIPE,,,,,,,168.1,,,,,,,168.1
,,,,,,,,,,,,,2,,FLFL,,,,,,,,50.2,,,,,52.85,103.05
,,,,,,,,,,,,,1,,FLUOROCHEM,,,,2937.6,,,,,,,,,,2937.6
,,,,,,,,,,,,,3,,FMGOETZE,,241.25,,,,,,,,234.75,255.2,,,731.2
,,,,,,,,,,,,,1,,FOODSIN,,100.85,,,,,,,,,,,,100.85
,,,,,,,,,,,,,1,,FORCEMOT,,,,,,,,,,,,,1062.5,1062.5
,,,,,,,,,,,,,2,,FRETAIL,,,,,,,,47.7,,,,,47.1,94.8
,,,,,,,,,,,,,1,,FSL,,,,150.7,,,,,,,,,,150.7
,,,,,,,,,,,,,2,,GAEL,,,,,,,189.6,,,,,,188.45,378.05
,,,,,,,,,,,,,1,,GALLISPAT,,,,,,,,,,,,,54.05,54.05
,,,,,,,,,,,,,1,,GANESHHOUC,214.95,,,,,,,,,,,,,214.95
,,,,,,,,,,,,,2,,GANGAFORGE,22.35,,,,,,,18.9,,,,,,41.25
,,,,,,,,,,,,,1,,GATI,,,,,,,,,,,,,156.6,156.6
,,,,,,,,,,,,,2,,GAYAPROJ,,,,,,,,24.4,,27.55,,,,51.95
,,,,,,,,,,,,,4,,GEECEE,,,172.2,,,,,161.3,192.35,,,,192.4,718.25
,,,,,,,,,,,,,5,,GENESYS,,,,,,,,,401.4,419.35,440.3,462.3,485.4,2208.75
,,,,,,,,,,,,,1,,GEOJITFSL,,,,80.3,,,,,,,,,,80.3
,,,,,,,,,,,,,1,,GEPIL,,,,,,,,,,,,,158.8,158.8
,,,,,,,,,,,,,1,,GFLLIMITED,,,,,,,,,,68,,,,68
,,,,,,,,,,,,,1,,GHCL,,,,,,,,,,,,,423.15,423.15
,,,,,,,,,,,,,2,,GINNIFILA,,,,,,,47.4,,,48.1,,,,95.5
,,,,,,,,,,,,,1,,GLAND,,,,,,,,,,,,,3356.1,3356.1
