NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
ICICI5GSEC,231019,3723,3716,EQ,3723,52.92,53.29,,
ICICIALPLV,231019,20568,19924,EQ,20568,204.73,204.27,,
ICICIAUTO,231019,3199,2532,EQ,3199,168.86,168.04,,
ICICIB22,231019,508406,386873,EQ,508406,75.95,76.12,,
ICICIBANKN,231019,154189,79709,EQ,154189,44.21,44.35,,
ICICIBANKP,231019,12185,5715,EQ,12185,227.74,228.34,,
ICICICOMMO,231019,3098,2137,EQ,3098,64.61,64.89,,
ICICICONSU,231019,1142,1028,EQ,1142,87.33,86.96,,
ICICIFIN,231019,143377,134487,EQ,143377,20.86,20.89,,
ICICIFMCG,231019,3971,3140,EQ,3971,541.74,540.49,,
ICICIGOLD,231019,428743,350445,EQ,428743,52.38,52.11,,
ICICIINFRA,231019,2505,1459,EQ,2505,63.97,63.98,,
ICICILIQ,231019,165126,100749,EQ,165126,999.99,1000.0,,
ICICILOVOL,231019,2948830,1871187,EQ,2948830,164.31,163.79,,
ICICIM150,231019,249895,225049,EQ,249895,154.08,154.6,,
ICICIMCAP,231019,11263,9862,EQ,11263,121.0,121.09,,
ICICIMOM30,231019,23371,13994,EQ,23371,23.32,23.38,,
ICICINF100,231019,2702,2082,EQ,2702,214.78,215.47,,
ICICINIFTY,231019,129277,72631,EQ,129277,215.46,216.03,,
ICICINV20,231019,10037,7323,EQ,10037,114.92,115.19,,
ICICINXT50,231019,20748,10485,EQ,20748,46.55,46.61,,
ICICIPHARM,231019,26332,13021,EQ,26332,97.73,97.82,,
ICICIQTY30,231019,853,843,EQ,853,166.06,165.45,,
ICICISENSX,231019,4598,4073,EQ,4598,729.56,734.55,,
ICICISILVE,231019,187435,143720,EQ,187435,72.95,73.44,,
ICICITECH,231019,183741,72003,EQ,183741,33.1,33.16,,
IDFNIFTYET,231019,156,148,EQ,156,210.61,211.31,,
INFRABEES,231019,2579,1771,EQ,2579,650.28,651.9,,
ITBEES,231019,3272926,2519619,EQ,3272926,33.22,33.23,,
IVZINGOLD,231019,448,402,EQ,448,5333.75,5297.7,,
IVZINNIFTY,231019,35,13,EQ,35,2175.88,2195.85,,
JUNIORBEES,231019,60635,33734,EQ,60635,477.16,478.65,,
KOTAKALPHA,231019,166824,112522,EQ,166824,35.36,35.43,,
KOTAKBKETF,231019,74190,73127,EQ,74190,446.47,447.6,,
KOTAKCONS,231019,85,61,EQ,85,86.32,86.32,,
KOTAKGOLD,231019,253359,220394,EQ,253359,51.12,50.87,,
KOTAKIT,231019,43333,28172,EQ,43333,32.95,32.98,,
KOTAKLIQ,231019,20,0,EQ,20,999.99,1000.0,,
KOTAKLOVOL,231019,4575,3636,EQ,4575,15.46,15.28,,
KOTAKMID50,231019,350272,343684,EQ,350272,116.26,116.74,,
KOTAKMNC,231019,5128,4858,EQ,5128,22.4,22.42,,
KOTAKNIFTY,231019,10390,9138,EQ,10390,210.75,211.3,,
KOTAKNV20,231019,28248,23498,EQ,28248,117.3,117.63,,
KOTAKPSUBK,231019,15226,8628,EQ,15226,501.88,502.11,,
KOTAKSILVE,231019,3334,1932,EQ,3334,70.94,71.13,,
LICMFGOLD,231019,93,76,EQ,93,5465.0,5444.6,,
LICNETFGSC,231019,7438,5902,EQ,7438,23.85,23.9,,
LICNETFN50,231019,57,32,EQ,57,212.19,213.95,,
LICNETFSEN,231019,66,32,EQ,66,728.99,733.69,,
LICNFNHGP,231019,88,42,EQ,88,209.41,210.82,,
LIQUID,231019,28119,24559,EQ,28119,999.99,999.99,,
LIQUIDBEES,231019,3538334,3082473,EQ,3538334,999.99,1000.0,,
LIQUIDETF,231019,270618,247475,EQ,270618,999.99,999.99,,
LORDSCHLO,231019,6063,3960,EQ,6063,171.05,170.7,,
LOWVOL,231019,407,402,EQ,407,152.87,151.99,,
LTGILTBEES,231019,563723,511236,EQ,563723,24.19,24.24,,
MAFANG,231019,332746,182877,EQ,332746,61.55,62.47,,
MAHKTECH,231019,827019,614061,EQ,827019,13.6,13.76,,
MAKEINDIA,231019,15185,12430,EQ,15185,99.42,99.75,,
MASPTOP50,231019,218259,144216,EQ,218259,31.88,32.47,,
MID150BEES,231019,620303,439106,EQ,620303,154.81,154.98,,
MIDCAPETF,231019,422015,330041,EQ,422015,15.23,15.24,,
MOGSEC,231019,48989,37780,EQ,48989,52.72,52.76,,
MOHEALTH,231019,2326,856,EQ,2326,28.87,28.59,,
MOLOWVOL,231019,1126,1047,EQ,1126,28.78,28.09,,
MOM100,231019,84292,55170,EQ,84292,42.98,43.01,,
MOM50,231019,303,277,EQ,303,199.24,199.98,,
MOMENTUM,231019,43311,39692,EQ,43311,23.2,23.29,,
MOMOMENTUM,231019,9438,6743,EQ,9438,46.28,46.37,,
MON100,231019,275004,157506,EQ,275004,120.65,121.63,,
MONIFTY500,231019,153466,140441,EQ,153466,17.37,17.41,,
MONQ50,231019,15170,9552,EQ,15170,53.71,54.04,,
MOQUALITY,231019,459,455,EQ,459,137.36,137.1,,
MOVALUE,231019,7395,5289,EQ,7395,64.4,64.13,,
NAVINIFTY,231019,201,136,EQ,201,196.0,197.27,,
NETF,231019,1195,361,EQ,1195,208.57,207.37,,
NEXT50,231019,496,336,EQ,496,455.12,455.41,,
NIF100BEES,231019,3212,2166,EQ,3212,204.2,204.94,,
NIFMID150,231019,222167,222146,EQ,222167,151.1,151.48,,
NIFTYBEES,231019,2193608,1538842,EQ,2193608,216.67,217.2,,
