anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500367,RUBFILA INT.,X ,Q,26.8,26.8,23.55,26.4,26.65,23.2,48,3920,99343,,INE642C01025,26-Mar-20,,
500368,RUCHI SOYA  ,T ,Q,147.55,147.55,147.55,147.55,147.55,140.55,10,75,11066,,INE619A01035,26-Mar-20,,
500378,JINDAL SAW  ,A ,Q,46,48,42.75,43.3,43.3,45.25,1283,107065,4838538,,INE324A01024,26-Mar-20,,
500380,JK LAKSHMI  ,A ,Q,212,219.8,204,210.3,210.55,203.45,365,2303,486554,,INE786A01032,26-Mar-20,,
500387,SHREE CEMENT,A ,Q,17370.15,18000,17106.15,17547.5,17600,17440.75,890,1771,31121278,,INE070A01015,26-Mar-20,,
500390,REL INFRA   ,A ,Q,8.65,9.5,8.65,9.35,9.5,9.05,880,305311,2816752,,INE036A01016,26-Mar-20,,
500399,STEELCO GUJ.,XT,Q,1.39,1.39,1.39,1.39,1.39,1.41,2,52,72,,INE629B01024,26-Mar-20,,
500400,TATA POWER  ,A ,Q,35,35.75,33.5,35.25,35.25,35,1459,501817,17572186,,INE245A01021,26-Mar-20,,
500402,SPMLINFRA   ,B ,Q,5.16,5.55,5.13,5.15,5.14,5.39,11,8801,46428,,INE937A01023,26-Mar-20,,
500403,SUNDARAM FAS,A ,Q,251,271.9,250,255.45,258,251.05,1078,13777,3581120,,INE387A01021,26-Mar-20,,
500404,SUNFLAG IRON,B ,Q,23.4,24.15,23.25,23.8,23.55,23,193,44768,1057226,,INE947A01014,26-Mar-20,,
500405,SUPREME PET ,B ,Q,125.4,126.1,123.1,123.1,123.1,122.5,10,1130,139416,,INE663A01017,26-Mar-20,,
500407,SWARAJ ENGIN,B ,Q,905.95,905.95,808.2,868.4,861.2,832.45,52,379,320506,,INE277A01016,26-Mar-20,,
500408,TATA ELXSI  ,A ,Q,592.85,640,592.85,619.45,619.45,587.2,2662,48041,29781559,,INE670A01012,26-Mar-20,,
500410,ACC LTD     ,A ,Q,911,978.3,896.95,969.1,969.1,916.45,3003,47797,44607755,,INE012A01025,26-Mar-20,,
500411,THERMAX     ,A ,Q,730,843.4,723.8,770.25,768.55,724.2,468,1705,1317975,,INE152A01029,26-Mar-20,,
500412,THIRUMALAI  ,B ,Q,32.05,35,32.05,34.3,34.3,31.95,650,66525,2271912,,INE338A01024,26-Mar-20,,
500413,THOMAS COOK ,B ,Q,22.2,23.3,22,23.3,23.3,22.2,60,2485,57118,,INE332A01027,26-Mar-20,,
500414,TIMEX GROUP ,X ,Q,17.05,18.7,16.75,18.7,18.7,17,69,8088,146901,,INE064A01026,26-Mar-20,,
500418,TOKYO PLAST ,B ,Q,55.15,62.5,55.15,58,58,57,50,434,24480,,INE932C01012,26-Mar-20,,
500420,TORRENT PHAR,A ,Q,1732,1854,1732,1811.75,1801.25,1789.3,1848,7256,13153497,,INE685A01028,26-Mar-20,,
500425,AMBUJA CEME ,A ,Q,147,147,136.65,144.2,144.2,139.15,4075,219588,31122140,,INE079A01024,26-Mar-20,,
500426,UTLINDS     ,X ,Q,9,9,8.17,8.6,8.6,8.6,4,62,513,,INE184E01024,26-Mar-20,,
500429,UNIPHOS ENT.,B ,Q,39,39.05,33.5,39.05,39.05,35.5,23,1867,71704,,INE037A01022,26-Mar-20,,
500439,VARD HOLDNG ,B ,Q,898,999,897.95,920,920,856.6,21,78,72312,,INE701A01023,26-Mar-20,,
