SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500093,CGPOWER     ,A ,Q,85.5,86.25,83.8,84.3,84.3,85.35,548,110851,9428897,,INE067A01029,,,
500096,DABUR (I)   ,A ,Q,287.4,290.15,286.85,289.9,289.9,287.7,996,158273,45802490,,INE016A01026,,,
500097,DALMIASUG   ,B ,Q,138.15,139.8,134,134.55,134.95,136.8,207,15164,2078785,,INE495A01022,,,
500101,ARVIND Ltd  ,A ,Q,382.7,387,374.3,375.95,375.95,382.45,1504,174790,67000374,,INE034A01011,,,
500102,BALARPUR IND,B ,Q,17,17.2,16.7,17,17,16.85,561,357308,6080718,,INE294A01037,,,
500103,BHEL        ,A ,Q,136.5,138.35,136.3,136.85,136.85,136.45,1612,359288,49481287,,INE257A01026,,,
500104,HIND.PETRO  ,A ,Q,528,532.05,510.6,511.95,511.95,529.35,5266,165627,85858672,,INE094A01015,,,
500106,IFCI LTD    ,A ,Q,25.4,25.55,24.8,25,25,25.2,890,817325,20618780,,INE039A01010,,,
500108,MAHA.TELE   ,B ,Q,21.6,22.1,21.55,21.75,21.75,21.55,735,323488,7069296,,INE153A01019,,,
500109,MRPL        ,A ,Q,125.7,126.35,122.1,122.45,122.45,124.05,1873,155845,19315597,,INE103A01014,,,
500110,CHENNAI PET.,B ,Q,369.9,369.9,351.45,357.1,357.1,364.85,2183,57751,20819893,,INE178A01016,,,
500111,REL.CAP.    ,A ,Q,625,638,620.15,625.15,625.15,625.6,8613,510233,321854972,,INE013A01015,,,
500112,STATE BANK  ,A ,Q,291.25,295.7,291.25,294.55,294.55,290.2,6953,1380077,404838219,,INE062A01020,,,
500113,STEEL AUTH. ,A ,Q,57.35,59.3,57.35,58.45,58.45,57.2,2273,598201,35034709,,INE114A01011,,,
500114,TITAN       ,A ,Q,522,528.8,517.05,520.2,518.4,522.6,1562,78641,41232588,,INE280A01028,,,
500116,IDBI BANK L ,A ,Q,57.3,57.6,56.8,57,57,56.95,1101,279011,15983886,,INE008A01015,,,
500117,DCW LTD.    ,B ,Q,35.1,35.5,34.25,34.6,34.6,34.9,507,149758,5231275,,INE500A01029,,,
500119,DHAMPUR SUGA,B ,Q,196.4,196.95,186,187.6,187.6,194.35,1268,101776,19649497,,INE041A01016,,,
500120,DIAMINES&CHM,XD,Q,78,79,76.3,76.5,76.45,77.7,16,1419,109188,,INE591D01014,,,
