Sr.No.,Accord Code,Company Name,CD_ISIN No,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Sector,CD_Industry1,SC_Latest Price Date,CD_Listing Status,SC_Latest Price,SC_Latest Market Cap
623,114171,Ceeta Industries Ltd.,INE760J01012,514171,,CETA IN,CETA.BO,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,09-Jun-2017,Listed,13.10,19.00
624,132695,Celebrity Fashions Ltd.,INE185H01016,532695,CELEBRITY,CFLI IN,CELF.BO,Textile ,Textile ,09-Jun-2017,Listed,15.45,65.00
625,132871,Celestial Biolabs Ltd.,INE221I01017,532871,CELESTIAL,CBIO IN,CELA.BO,Healthcare,Pharmaceuticals & Drugs,09-Jun-2017,Listed,24.00,54.21
626,122251,Cenlub Industries Ltd.,INE627F01011,522251,,CLBI IN,CENL.BO,Capital Goods,Engineering - Industrial Equipments,09-Jun-2017,Listed,53.50,22.04
627,131380,Centenial Surgical Suture Ltd.,INE405H01018,531380,,CSS IN,CSUG.BO,Healthcare,Hospital & Healthcare Services,09-Jun-2017,Listed,94.50,34.48
628,131621,Centerac Technologies Ltd.,INE157B01026,531621,,CENL IN,CENE.BO,IT,IT - Software ,05-Jun-2017,Listed,1.19,1.31
629,132885,Central Bank Of India,INE483A01010,532885,CENTRALBK,CBOI IN,CBI.BO,Bank,Bank - Public,09-Jun-2017,Listed,100.15,19050.24
630,101827,Central Provinces Railways Company Ltd.,INE631B01038,501827,,CPR IN,CPRC.BO,Capital Goods,Engineering - Industrial Equipments,08-Jun-2017,Listed,452.85,84.07
631,101150,Centrum Capital Ltd.,INE660C01027,501150,,CECA IN,CENC.BO,Finance,Finance - Investment,09-Jun-2017,Listed,48.85,2032.32
632,117544,Centum Electronics Ltd.,INE320B01020,517544,CENTUM,CTE IN,CENT.BO,Electricals,Electronics - Components,09-Jun-2017,Listed,698.70,893.84
633,130881,Century 21St Portfolio Ltd.,INE485K01014,530881,,C21P IN,CTPL.BO,Finance,Finance - Investment,24-May-2017,Listed,10.12,2.10
634,100280,Century Enka Ltd.,INE485A01015,500280,CENTENKA,CENK IN,CNTE.BO,Textile ,Textile ,09-Jun-2017,Listed,397.45,868.45
635,100083,Century Extrusions Ltd.,INE281A01026,500083,CENTEXT,CEXT IN,CNTX.BO,Non - Ferrous Metals,Aluminium & Aluminium Products,09-Jun-2017,Listed,5.38,43.04
636,132548,Century Plyboards (India) Ltd.,INE348B01021,532548,CENTURYPLY,CPBI IN,CNTP.BO,Construction Materials,Wood & Wood Products,09-Jun-2017,Listed,299.70,6658.52
637,100040,Century Textiles & Industries Ltd.,INE055A01016,500040,CENTURYTEX,CENT IN,CNTY.BO,Diversified,Diversified,09-Jun-2017,Listed,1073.75,11993.32
638,132443,Cera Sanitaryware Ltd.,INE739E01017,532443,CERA,CRS IN,CERA.BO,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,09-Jun-2017,Listed,3007.20,3911.13
