Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14112022,1014307377,0002138"
"Trade Date <14-NOV-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,346,CHOICEIN,EQ,31202,7279,23.33"
"20,347,CHOLAFIN,EQ,799451,203090,25.40"
"20,348,CHOLAHLDNG,EQ,343579,321595,93.60"
"20,349,CIGNITITEC,EQ,110307,54155,49.09"
"20,350,CINELINE,EQ,72435,45001,62.13"
"20,351,CINEVISTA,EQ,27223,12116,44.51"
"20,352,CIPLA,EQ,1501491,856958,57.07"
"20,353,CLEAN,EQ,123625,66725,53.97"
"20,354,CLEDUCATE,EQ,75884,47156,62.14"
"20,355,CLNINDIA,EQ,15021,9924,66.07"
"20,356,CLOUD,SM,176000,88000,50.00"
"20,357,CLSEL,EQ,71958,44426,61.74"
"20,358,CMICABLES,EQ,33992,17526,51.56"
"20,359,CMMIPL,SM,42000,36000,85.71"
"20,360,CMRSL,SM,4800,4800,100.00"
"20,361,CMSINFO,EQ,434959,251804,57.89"
"20,362,COALINDIA,EQ,18762693,9940226,52.98"
"20,363,COASTCORP,EQ,35225,20061,56.95"
"20,364,COASTPP,E1,524,222,42.37"
"20,365,COCHINSHIP,EQ,6082924,784025,12.89"
"20,366,COFFEEDAY,EQ,1096742,607519,55.39"
"20,367,COFORGE,EQ,443136,111551,25.17"
"20,368,COLPAL,EQ,493884,348737,70.61"
"20,369,COMPINFO,EQ,276424,155174,56.14"
"20,370,COMPUSOFT,EQ,71344,52301,73.31"
"20,371,CONCOR,EQ,2984531,1585559,53.13"
"20,372,CONFIPET,EQ,698608,405208,58.00"
"20,373,CONSOFINVT,EQ,1892,1044,55.18"
"20,374,CONSUMBEES,EQ,25531,20886,81.81"
"20,375,CONTI,SM,29997,23331,77.78"
"20,376,CONTROLPR,EQ,14977,8628,57.61"
"20,377,COOLCAPS,SM,3000,3000,100.00"
"20,378,CORALFINAC,EQ,40664,20318,49.97"
"20,379,CORDSCABLE,EQ,165426,99934,60.41"
"20,380,COROMANDEL,EQ,637948,330658,51.83"
"20,381,COSMOFIRST,EQ,100678,70099,69.63"
"20,382,COUNCODOS,EQ,206320,72577,35.18"
"20,383,CPSEETF,EQ,589260,428234,72.67"
"20,384,CRAFTSMAN,EQ,37219,23718,63.73"
"20,385,CREATIVE,EQ,3127,1709,54.65"
"20,386,CREATIVEYE,EQ,1908,1908,100.00"
"20,387,CREDITACC,EQ,169174,122874,72.63"
"20,388,CREST,EQ,9021,6833,75.75"
"20,389,CRISIL,EQ,46203,27543,59.61"
"20,390,CROMPTON,EQ,758771,401815,52.96"
"20,391,CROWN,EQ,773,674,87.19"
"20,392,CSBBANK,EQ,373580,226156,60.54"
"20,393,CSLFINANCE,EQ,6188,3853,62.27"
"20,394,CTE,EQ,25660,15540,60.56"
"20,395,CUB,EQ,5054829,2721780,53.85"
"20,396,CUBEXTUB,EQ,87365,42089,48.18"
"20,397,CUMMINSIND,EQ,648024,343609,53.02"
"20,398,CUPID,EQ,222066,157671,71.00"
"20,399,CYBERMEDIA,EQ,120304,105583,87.76"
"20,400,CYBERTECH,EQ,12040,6628,55.05"
"20,401,CYIENT,EQ,200524,139358,69.50"
"20,402,DAAWAT,EQ,2156238,1015998,47.12"
"20,403,DABUR,EQ,2173335,1164951,53.60"
"20,404,DALBHARAT,EQ,175298,83348,47.55"
"20,405,DALMIASUG,EQ,77918,37149,47.68"
"20,406,DAMODARIND,EQ,38531,24016,62.33"
"20,407,DANGEE,EQ,400791,267977,66.86"
"20,408,DATAMATICS,EQ,184797,63903,34.58"
"20,409,DATAPATTNS,EQ,105739,39348,37.21"
"20,410,DBCORP,EQ,168357,75587,44.90"
"20,411,DBL,EQ,540308,184062,34.07"
"20,412,DBOL,EQ,150670,99072,65.75"
"20,413,DBREALTY,EQ,713825,411901,57.70"
"20,414,DBSTOCKBRO,EQ,8103,4740,58.50"
"20,415,DCAL,EQ,1217591,601070,49.37"
"20,416,DCBBANK,EQ,2280994,984492,43.16"
"20,417,DCI,EQ,3057,3057,100.00"
"20,418,DCM,EQ,135292,81676,60.37"
"20,419,DCMNVL,EQ,20930,14372,68.67"
"20,420,DCMSHRIRAM,EQ,240134,98389,40.97"
"20,421,DCMSRIND,EQ,379386,251550,66.30"
"20,422,DCW,EQ,3221449,1656051,51.41"
"20,423,DCXINDIA,EQ,7021355,2131474,30.36"
"20,424,DECCANCE,EQ,26881,18762,69.80"
"20,425,DEEPAKFERT,EQ,282342,116575,41.29"
"20,426,DEEPAKNTR,EQ,623260,250089,40.13"
"20,427,DEEPINDS,EQ,70593,30830,43.67"
"20,428,DELHIVERY,EQ,788487,379043,48.07"
"20,429,DELPHIFX,EQ,3838,2295,59.80"
"20,430,DELTACORP,EQ,2943593,943451,32.05"
"20,431,DELTAMAGNT,EQ,17957,14850,82.70"
"20,432,DEN,EQ,1879218,1019262,54.24"
"20,433,DENORA,EQ,8932,5773,64.63"
"20,434,DEVIT,EQ,22180,8109,36.56"
"20,435,DEVYANI,EQ,4638084,2771500,59.76"
"20,436,DFMFOODS,EQ,17798,10513,59.07"
"20,437,DGCONTENT,EQ,17973,12617,70.20"
"20,438,DHAMPURSUG,EQ,157249,72672,46.21"
"20,439,DHANBANK,EQ,1302917,843030,64.70"
"20,440,DHANI,EQ,1735235,949495,54.72"
"20,441,DHANILOANS,N6,900,731,81.22"
"20,442,DHANILOANS,N7,1045,1045,100.00"
"20,443,DHANILOANS,N8,50,50,100.00"
"20,444,DHANILOANS,NH,10,10,100.00"
"20,445,DHANILOANS,NY,30,30,100.00"
"20,446,DHANILOANS,Y5,174,100,57.47"
