Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
J K Cements,532644,JKCEMENT,Cement - North India,3771.55,4874.31,29152.48,,
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,242.6,18982.4,29126.56,,
K P R Mill Ltd,532889,KPRMILL,Textiles - Products,840.9,4043.01,28753.29,,
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments,459.6,3567.26,28753.15,,
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,1687.4,1539.55,28606.89,,
Pun. & Sind Bank,533295,PSB,Banks - Public Sector,42,15108.51,28491.78,,
LIC Housing Fin.,500253,LICHSGFIN,Finance - Housing,513.55,29225.25,28259.16,,
Indian Renewable,544026,IREDA,Finance - Term-Lending Institutions,104.95,5935.17,28213.1,,
Indraprastha Gas,532514,IGL,Miscellaneous,398.35,8059.99,27894.8,,
Syngene Intl.,539268,SYNGENE,Pharmaceuticals - Indian - Bulk Drugs & Formln,689.3,3890.9,27718.78,,
NLC India,513683,NLCINDIA,Power Generation And Supply,198.55,16490.97,27531.67,,
Apollo Tyres,500877,APOLLOTYRE,Tyres,431.3,12982.34,27391.9,,
ITI,523610,ITI,Telecommunications - Equipment,282.65,2080.94,27168.62,,
Bharat Dynamics,541143,BDL,Engineering,1479,3373.42,27102.84,,
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1061.5,6148.73,26928.27,,
KEI Industries,517569,KEI,Cables - Power,2979.4,2858.17,26856.83,,
Delhivery,543529,DELHIVERY,Couriers,365.35,9111.41,26851.09,,
Sun TV Network,532733,SUNTV,Entertainment / Electronic Media Software,677.95,10082.32,26689.99,,
Angel One,543235,ANGELONE,Finance & Investments,3180.45,2612.6,26678.39,,
Motherson Wiring,543498,MSUMI,Auto Ancillaries,60.1,1316.64,26596.7,,
CreditAcc. Gram.,541770,CREDITACC,Finance & Investments,1655.7,5797.74,26314.1,,
Sundram Fasten.,500403,SUNDRMFAST,Auto Ancillaries,1248.4,3214.43,26226.1,,
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes,321.9,5286.12,26033.51,,
Tata Chemicals,500770,TATACHEM,Chemicals,988.6,21403,25188.01,,
Hatsun Agro,531531,HATSUN,Food - Processing - Indian,1123.7,1465.24,24902.06,,
Global Health,543654,MEDANTA,Healthcare,919.85,2654.13,24845.17,,
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,1745.3,4591.33,24542.31,,
Bayer Crop Sci.,506285,BAYERCROP,Pesticides / Agrochemicals - Multinational,5447.15,3131.4,24510.55,,
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,287.4,12523.61,24433,,
Cyient,532175,CYIENT,Computers - Software - Medium / Small,2201.55,4037.5,24389.56,,
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software,251.95,10790.22,24204.74,,
Timken India,522113,TIMKEN,Bearings,3200.15,2207.68,24090.67,,
Tata Motors-DVR,570001,TATAMTRDVR,Automobiles - LCVs / HCVs,471.2,55246.72,23963.11,,
Grindwell Norton,506076,GRINDWELL,Abrasives And Grinding Wheels,2160.2,1844.2,23956.32,,
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,1899.65,3481.87,23922.28,,
Narayana Hrudaya,539551,NH,Healthcare,1168.65,2501.72,23893.64,,
Ratnamani Metals,520111,RATNAMANI,Steel - Medium / Small,3375.6,2818.66,23651.57,,
IIFL Finance,532636,IIFL,Finance & Investments,619.25,9910.76,23632.9,,
The Ramco Cement,500260,RAMCOCEM,Cement - South India,996.5,6936.83,23602.88,,
IRB Infra.Devl.,532947,IRB,Construction,38.9,13593.05,23491.71,,
