SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
INNOVANA,Innovana Thinklabs Limited,SM,12-Dec-17,10,INE403Y01018,10,521,,JFLLIFE,N,10885,JFLLIFE   SM,43.55,43.61,43.66,44.1,45.46,45.06,56,42,,12,,
INNOVATIVE,Innovative Tyres and Tubes Limited,SM,5-Oct-17,10,INE070Y01015,10,#N/A,,JIWANRAM,N,18558,JIWANRAM  SM,16.4,16.37,16.39,16.6,17.4,18.9,,,,12,,
INSPIRE,Inspire Films Limited,SM,5-Oct-23,10,INE0NDX01019,10,63,,JSLL,N,9044,JSLL      ST,603.65,608.47,614.33,627.46,654.24,683.06,,,,12,,
IPSL,Integrated Personnel Services Limited,SM,11-Nov-22,10,INE02EE01019,10,160,,KANDARP,N,11208,KANDARP   SM,16.1,16.24,16.54,17.1,17.89,18.06,24.85,15.25,,12,,
ISHAN,Ishan International Limited,ST,22-Sep-22,10,INE0LCW01017,10,#N/A,,KARNIKA,N,19465,KARNIKA   SM,121.95,125.68,133.49,143.44,135.65,101.99,,,,12,,
JAINAM,Jainam Ferro Alloys (I) Limited,SM,8-Oct-21,10,INE02KC01010,10,129.1,,KCK,N,10293,KCK       SM,27.65,27.89,27.65,27.15,26.07,24.99,30.5,20.05,,12,,
JAKHARIA,JAKHARIA FABRIC LIMITED,ST,11-Jul-18,10,INE00N401018,10,33.8,,KDL,N,16758,KDL       SM,466.2,454.39,440.66,416.27,372.06,267.12,478.8,268.95,,12,,
JALAN,Jalan Transolutions (India) Limited,SM,31-May-17,10,INE349X01015,10,5.7,,KEL,N,18708,KEL       SM,252.3,245.69,226.28,195.66,147.43,98.57,,,,12,,
JETKNIT,Jet Knitwears Limited,ST,7-Oct-16,10,INE564T01017,10,#N/A,,KHFM,N,9570,KHFM      SM,53,52.16,52.28,52.08,51.31,46.55,58.25,41.4,,12,,
JFLLIFE,Jfl Life Sciences Limited,SM,8-Sep-22,10,INE0LA901015,10,43.55,,KKVAPOW,N,17781,KKVAPOW   SM,621,609.63,639.97,716,761.04,585.63,1177,371.05,,12,,
