Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,506184,24243,13300,7.51,7.95,1.0,B 
230222,506186,8307,7525,15.06,14.42,1.13,X 
230222,506194,385,165,209.4,210.75,0.35,B 
230222,506197,19479,14360,76.2,78.25,10.94,B 
230222,506222,1488,1351,756.5,754.7,10.22,B 
230222,506235,11916,8856,63.3,64.25,5.61,B 
230222,506248,7652,5482,87.8,89.9,4.81,X 
230222,506260,21779,20461,85.6,86.2,17.51,X 
230222,506261,2795,2613,52.3,59.6,1.37,B 
230222,506285,344,166,4401.0,4441.7,7.31,A 
230222,506365,1,1,40.95,40.95,0.0,XT
230222,506390,1913,1787,310.85,312.15,5.55,B 
230222,506395,2383,811,890.05,900.9,7.22,A 
230222,506401,14344,5914,1794.2,1803.7,106.11,A 
230222,506405,1922,1505,244.1,236.15,3.67,B 
230222,506414,5913,4469,137.15,137.1,6.13,X 
230222,506480,1115,892,334.4,342.8,2.98,B 
230222,506520,10018,8227,6.22,6.35,0.51,X 
230222,506522,333,314,1940.7,1848.3,6.09,X 
230222,506525,3232,2101,124.95,130.1,2.63,B 
230222,506528,338,286,788.15,788.55,2.25,X 
230222,506532,3764,3053,674.95,684.0,20.61,X 
230222,506543,507,507,7.05,6.73,0.04,X 
230222,506579,384,316,658.7,661.05,2.08,B 
230222,506590,65516,18428,118.45,120.7,21.83,A 
230222,506597,5529,4917,220.15,229.95,10.82,X 
230222,506605,92,60,923.35,944.8,0.55,X 
230222,506618,143,108,897.8,882.05,0.97,B 
230222,506640,373,373,55.4,58.3,0.21,XT
230222,506642,43385,26509,119.1,120.5,31.57,B 
230222,506655,3320,2207,367.6,369.45,8.11,A 
230222,506685,55620,32872,365.0,371.75,119.98,B 
230222,506687,4183,3777,1698.1,1694.9,64.14,X 
230222,506690,2614,1321,313.1,324.45,4.14,B 
230222,506734,464,270,107.3,109.0,0.29,X 
230222,506767,1149,650,2509.9,2534.6,16.31,A 
230222,506808,11536,10229,52.8,53.9,5.4,X 
230222,506820,159,145,3356.1,3328.85,4.87,A 
230222,506852,83098,60337,70.3,72.9,42.42,A 
230222,506854,2582,2010,971.95,1000.6,19.54,X 
230222,506858,2336,2336,33.05,34.75,0.77,XT
230222,506879,5893,4107,671.7,672.5,27.59,X 
230222,506906,11588,10432,2.17,2.28,0.23,X 
230222,506910,3258,3127,66.9,68.5,2.09,X 
230222,506919,5264,4990,100.8,100.1,5.03,X 
230222,506935,17,17,71.3,75.05,0.01,XT
230222,506943,608,230,1925.15,1954.9,4.43,A 
230222,506947,50,50,333.35,317.5,0.17,P 
230222,506975,700,700,1.65,1.58,0.01,P 
230222,506981,902,677,131.0,129.5,0.89,X 
230222,507155,1624,1624,87.1,89.3,1.41,XT
230222,507180,2175,1644,63.1,63.8,1.04,X 
230222,507205,28272,14693,116.95,114.6,17.18,B 
230222,507300,8,8,3550.0,3461.0,0.28,XT
230222,507315,70090,57868,20.0,21.0,11.57,B 
230222,507410,15808,12050,59.75,62.75,7.2,B 
230222,507435,376,376,89.7,86.7,0.34,XT
230222,507438,53,46,477.1,481.7,0.22,B 
230222,507442,690,690,9.96,9.86,0.07,Z 
230222,507474,4996,4079,44.15,43.4,1.8,X 
230222,507486,4090,4090,74.4,73.0,3.04,XT
230222,507488,1344,727,564.15,562.85,4.1,B 
230222,507490,57715,45169,21.8,22.3,9.85,B 
230222,507498,8727,5629,17.2,17.95,0.97,X 
230222,507514,40721,20540,115.55,119.85,23.73,B 
230222,507515,1571,1571,24.1,24.7,0.38,XT
230222,507526,1785,1038,375.8,375.2,3.9,B 
230222,507552,16998,16998,132.35,131.65,22.5,T 
230222,507580,75,67,131.95,132.6,0.09,B 
230222,507598,16003,11939,117.9,119.6,14.08,X 
230222,507621,1085,617,618.0,626.4,3.81,X 
230222,507645,24,23,10100.65,10223.0,2.32,X 
230222,507685,272207,136669,395.2,402.75,540.12,A 
230222,507690,1656,1656,121.35,124.5,2.01,XT
230222,507717,716,552,672.3,677.3,3.71,B 
230222,507747,220,186,925.2,926.7,1.72,B 
230222,507753,115531,77752,113.25,116.15,88.05,B 
230222,507759,855,715,21.05,21.85,0.15,X 
230222,507779,4304,2365,84.3,87.45,1.99,B 
230222,507785,1122,1122,102.15,103.15,1.15,T 
230222,507789,1080,958,325.2,332.55,3.12,B 
230222,507794,4630,3417,59.7,60.65,2.04,B 
230222,507813,590,590,83.65,88.05,0.49,XT
230222,507815,534,431,4793.4,4788.0,20.66,A 
230222,507817,3460,3460,141.1,134.4,4.88,XT
230222,507828,106098,91255,3.73,3.91,3.4,X 
230222,507833,14377,10702,2.46,2.37,0.26,X 
230222,507836,51,51,370.0,370.65,0.19,X 
230222,507852,1828,1772,30.6,32.0,0.54,X 
230222,507864,6433,5156,32.5,33.4,1.68,X 
230222,507872,399,399,35.4,37.25,0.14,XT
230222,507878,1818983,1818983,1.47,1.51,26.74,Z 
230222,507880,5943,2952,665.45,661.9,19.64,A 
230222,507910,2161,2098,36.05,36.75,0.76,B 
230222,507912,858,828,80.65,80.2,0.67,X 
230222,507944,27620,17809,1063.65,1114.7,189.43,X 
230222,507946,26,26,59.15,61.5,0.02,X 
230222,507948,1454,1454,49.85,48.6,0.72,XT
230222,507960,400,311,139.5,139.0,0.43,X 
230222,507966,137,100,30.9,32.5,0.03,X 
230222,507970,3484,2906,33.6,35.15,0.98,X 
230222,507981,3755,3128,41.05,42.1,1.28,X 
230222,507998,12006,8653,43.55,46.85,3.77,X 
230222,508136,604,504,264.2,267.8,1.33,X 
230222,508486,233,199,5919.6,5942.35,11.78,A 
230222,508571,101,101,75.95,76.45,0.08,XT
230222,508670,33,24,3516.6,3615.0,0.84,X 
230222,508807,2251,2068,489.0,475.0,10.11,X 
230222,508814,6633,4993,703.55,707.35,35.13,A 
230222,508869,5948,1160,4450.9,4501.55,51.63,A 
230222,508875,1611,1213,218.9,212.0,2.66,X 
230222,508905,760,641,39.65,38.0,0.25,X 
230222,508906,1273,907,734.65,743.75,6.66,B 
230222,508918,403,203,33.8,32.9,0.07,X 
230222,508922,34430,20800,9.01,8.59,1.87,X 
230222,508933,3398,2633,61.7,60.75,1.62,B 
230222,508941,1290,1170,365.45,372.2,4.28,X 
230222,508954,5394,4239,81.8,84.0,3.47,X 
230222,508956,116,116,4.27,4.27,0.0,XT
230222,508963,13,13,7.69,7.69,0.0,XT
230222,508969,20837,20837,4.1,4.15,0.85,XT
230222,508980,50000,50000,4.09,3.9,2.04,Z 
230222,508989,8170,5100,101.85,103.75,5.19,B 
230222,508996,38456,38456,0.93,0.97,0.36,Z 
230222,509009,1860,1499,62.2,64.8,0.93,B 
230222,509020,14158,14158,9.18,9.25,1.3,T 
230222,509040,10726,10537,55.75,55.4,5.87,X 
230222,509048,4452,4452,31.15,31.15,1.39,XT
230222,509051,1955344,1494827,1.47,1.5,21.97,X 
230222,509053,76775,64186,13.18,13.39,8.46,X 
230222,509055,10593,5057,381.35,385.75,19.28,B 
230222,509069,500,400,4.91,4.95,0.02,B 
230222,509073,4822,4822,18.0,17.75,0.87,XT
230222,509077,5915,5163,62.1,63.05,3.21,B 
230222,509079,7302,5355,214.15,212.45,11.47,B 
