Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,504084,10,6,8015.1,7925.75,0.48,X 
230420,504092,21932,16491,89.75,91.8,14.8,X 
230420,504093,3020,1944,229.6,230.8,4.46,X 
230420,504112,6331,3440,540.6,542.2,18.6,B 
230420,504132,6695,5624,1069.2,1067.9,60.13,X 
230420,504176,11492,7967,341.15,352.85,27.18,X 
230420,504180,15644,13099,29.22,27.22,3.83,X 
230420,504212,2073,1254,392.7,394.8,4.92,B 
230420,504220,35268,35268,56.76,54.06,20.02,B 
230420,504240,3572,2991,71.01,71.13,2.12,X 
230420,504258,5825,5056,982.7,951.05,49.69,X 
230420,504273,47420,47420,9.8,9.43,4.65,Z 
230420,504286,812,411,78.48,78.88,0.32,B 
230420,504340,356,356,6.67,6.8,0.02,X 
230420,504341,3870,2826,45.13,43.14,1.28,X 
230420,504356,423,423,7.72,8.11,0.03,XT
230420,504378,27453,20004,4.21,4.19,0.84,X 
230420,504380,183063,70892,127.24,111.0,90.2,X 
230420,504392,1016,538,122.55,129.0,0.66,X 
230420,504605,522,355,991.35,1010.25,3.52,X 
230420,504614,3777,2590,1107.1,1124.8,28.67,A 
230420,504646,240,235,320.1,335.95,0.75,X 
230420,504648,22550,13586,29.02,27.64,3.94,X 
230420,504697,8156,8156,1.81,1.9,0.15,Z 
230420,504731,5,5,27.0,27.0,0.0,XT
230420,504741,26467,15422,139.45,134.55,21.51,B 
230420,504786,13460,10396,344.5,331.6,35.81,X 
230420,504810,7,7,49.0,47.38,0.0,XT
230420,504840,72,40,2793.25,2817.3,1.12,X 
230420,504879,1601,1263,24.9,25.32,0.31,B 
230420,504882,251,134,5177.95,5298.65,6.94,A 
230420,504908,117,62,379.95,380.0,0.24,X 
230420,504918,14932,9452,1210.25,1211.35,114.39,A 
230420,504959,493,363,2245.8,2201.7,8.15,X 
230420,504961,4944,4944,64.4,63.43,3.18,XT
230420,504966,15686,13798,323.8,324.75,44.68,A 
230420,504973,577,389,580.55,573.5,2.26,A 
230420,504988,27,27,709.95,668.1,0.19,X 
230420,505010,352,155,2383.25,2375.45,3.69,B 
230420,505036,2487,1939,796.35,786.15,15.44,X 
230420,505075,19983,19983,7.36,7.28,1.47,T 
230420,505141,294,294,28.61,29.75,0.08,T 
230420,505160,1718,1111,441.75,443.3,4.91,B 
230420,505163,1657,1100,537.1,540.9,5.91,X 
230420,505192,20961,4434,994.1,899.9,44.08,B 
230420,505196,310,310,134.55,133.0,0.42,Z 
230420,505200,7073,2119,3246.85,3289.1,68.8,A 
230420,505212,177,177,110.99,107.54,0.2,XT
230420,505216,13,13,675.65,675.0,0.09,X 
230420,505232,122,96,1241.7,1231.2,1.19,X 
230420,505242,2192,1565,2955.5,2915.4,46.25,B 
230420,505250,61,56,52.87,54.25,0.03,X 
230420,505255,1863,723,1495.15,1518.35,10.81,A 
230420,505283,7610,4710,586.85,585.8,27.64,A 
230420,505299,2485,1894,307.7,302.05,5.83,X 
230420,505302,3,3,824.9,831.95,0.02,X 
230420,505324,74157,46536,21.53,18.96,10.02,B 
230420,505343,38062,38062,0.28,0.27,0.11,Z 
230420,505355,4268,3124,539.95,532.95,16.87,A 
230420,505358,126089,92446,143.45,133.0,132.61,X 
230420,505368,465,367,1274.9,1282.5,4.68,B 
230420,505400,6231,3230,57.2,53.02,1.85,B 
230420,505412,117,55,7905.35,7964.1,4.35,B 
230420,505509,10850,7000,139.65,136.0,9.78,B 
230420,505515,1586,1516,3.7,3.69,0.06,X 
230420,505523,571389,547785,1.31,1.25,7.18,X 
230420,505526,25776,19153,48.45,48.26,9.28,B 
230420,505533,3314,1684,682.55,685.45,11.49,A 
230420,505537,885024,406727,196.85,197.8,800.64,A 
230420,505590,215329,185429,9.89,9.42,18.34,B 
