Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Quadpro ITeS Ltd.,48000,6.25,6.1,3.0,QUADPRO,,SM
Quality Foils (India) Ltd.,2000,103.0,102.0,2.06,QFIL,,SM
Quicktouch Technologies Ltd.,4000,210.0,219.5,8.4,QUICKTOUCH,,SM
Rachana Infrastructure Ltd.,9800,91.4,90.55,8.9572,RILINFRA,,SM
RBM Infracon Ltd.,30000,215.9,205.65,64.77,RBMINFRA,,SM
Remus Pharmaceuticals Ltd.,800,5020.35,5049.95,40.162800000000004,REMUS,,SM
REX Pipes and Cables Industrie,4000,72.0,70.65,2.88,REXPIPES,,SM
Rite Zone Chemcon India Ltd.,1600,65.4,65.4,1.0464000000000002,RITEZONE,,SM
Sabar Flex India Ltd.,10000,25.85,26.2,2.585,SABAR,,SM
Sahana System Ltd.,4000,260.0,254.0,10.4,SAHANA,,SM
Salasar Exteriors & Contour Lt,81250,25.55,26.9,20.759375,SECL,,SM
Shera Energy Ltd.,58000,167.25,167.35,97.005,SHERA,,SM
Shigan Quantum Technologies Lt,7500,117.5,112.0,8.8125,SHIGAN,,SM
Shubhlaxmi Jewel Art Ltd.,9000,93.0,93.3,8.37,SHUBHLAXMI,,SM
Siddhika Coatings Ltd.,1000,187.0,192.5,1.87,SIDDHIKA,,SM
SKP Bearing Industries Ltd.,14000,205.0,208.6,28.7,SKP,,SM
Solex Energy Ltd.,10800,549.0,548.85,59.292,SOLEX,,SM
Sonu Infratech Ltd.,3000,53.5,53.5,1.605,SONUINFRA,,SM
Spectrum Talent Management Ltd,61600,139.45,137.2,85.9012,SPECTSTM,,SM
Srivasavi Adhesive Tapes Ltd.,9000,120.15,123.0,10.8135,SRIVASAVI,,SM
Surani Steel Tubes Ltd.,6000,288.1,296.0,17.286,SURANI,,SM
Swastik Pipes Ltd.,3600,96.2,98.8,3.4632,SWASTIK,,SM
Synoptics Technologies Ltd.,10800,126.65,125.0,13.6782,SYNOPTICS,,SM
Systango Technologies Ltd.,49600,239.85,238.55,118.9656,SYSTANGO,,SM
